sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pair_count,probability,probability_density_per_degree,cumulative_probability
7d,0,13,13.1,0.100000000000001,13.05,16,2.24723204215807e-05,0.000224723204215804,0.902166753044649
7d,0,13.1,13.2,0.0999999999999996,13.15,19,2.66858805006271e-05,0.000266858805006272,0.902193438925149
7d,0,13.2,13.3,0.0999999999999996,13.25,39,5.4776281027603e-05,0.000547762810276032,0.902248215206177
7d,0,13.3,13.4,0.0999999999999996,13.35,44,6.1798881159347e-05,0.000617988811593472,0.902310014087336
7d,0,13.4,13.5,0.0999999999999996,13.45,65,9.12938017126717e-05,0.00091293801712672,0.902401307889049
7d,0,13.5,13.6,0.100000000000001,13.55,55,7.72486014491838e-05,0.000772486014491827,0.902478556490498
7d,0,13.6,13.7,0.0999999999999996,13.65,36,5.05627209485566e-05,0.000505627209485568,0.902529119211447
7d,0,13.7,13.8,0.0999999999999996,13.75,53,7.44395613964862e-05,0.000744395613964864,0.902603558772843
7d,0,13.8,13.9,0.0999999999999996,13.85,63,8.84847616599741e-05,0.000884847616599744,0.902692043534503
7d,0,13.9,14,0.0999999999999996,13.95,52,7.30350413701374e-05,0.000730350413701376,0.902765078575874
7d,0,14,14.1,0.100000000000001,14.05,51,7.16305213437886e-05,0.000716305213437876,0.902836709097217
7d,0,14.1,14.2,0.0999999999999996,14.15,48,6.74169612647422e-05,0.000674169612647424,0.902904126058482
7d,0,14.2,14.3,0.0999999999999996,14.25,45,6.32034011856958e-05,0.00063203401185696,0.902967329459668
7d,0,14.3,14.4,0.0999999999999996,14.35,57,8.00576415018814e-05,0.000800576415018816,0.90304738710117
7d,0,14.4,14.5,0.0999999999999996,14.45,48,6.74169612647422e-05,0.000674169612647424,0.903114804062434
7d,0,14.5,14.6,0.100000000000001,14.55,40,5.61808010539518e-05,0.00056180801053951,0.903170984863488
7d,0,14.6,14.7,0.0999999999999996,14.65,46,6.46079212120446e-05,0.000646079212120448,0.9032355927847
7d,0,14.7,14.8,0.0999999999999996,14.75,47,6.60124412383934e-05,0.000660124412383936,0.903301605225939
7d,0,14.8,14.9,0.0999999999999996,14.85,31,4.35401208168127e-05,0.000435401208168128,0.903345145346756
7d,0,14.9,15,0.0999999999999996,14.95,35,4.91582009222078e-05,0.00049158200922208,0.903394303547678
7d,0,15,15.1,0.100000000000001,15.05,34,4.77536808958591e-05,0.000477536808958584,0.903442057228574
